tagId,tagName,occurence
1,java,4
2,android,4
3,pandas,1
4,python,4
5,dataframes,1
6,anaconda,1
7,python-2.7,3
8,osx,3
9,nstableview,1
10,backendless,1
11,swift,3
12,uml,1
13,deployment,1
14,authorization,1
15,apache,1
16,amazon-ec2,1
17,php,4
18,restful-authentication,1
19,excel,2
20,octave,1
21,gtk3,1
22,pygobject,1
23,pango,1
24,boundary,1
25,r,1
26,np,1
27,cdf,1
28,cross-validation,1
29,regex,1
30,pcre,1
31,text,1
32,notepad++,1
33,sorting,1
34,realm,1
35,arrays,2
36,ios,2
37,google-cloud-dataflow,1
38,shell,1
39,makefile,1
40,bash,1
41,multithreading,1
42,scenekit,2
43,node.js,1
44,webstorm,1
45,autocomplete,1
46,javascript,2
47,tkinter,1
48,variables,1
49,for-loop,1
50,class,2
51,windbg,1
52,dump,1
53,crash-dumps,1
54,c#,3
55,locking,1
56,thread-safety,1
57,parse.com,1
58,google-fusion-tables,1
59,sql,2
60,heroku,1
61,terminal,1
62,glassfish,1
63,db2400,1
64,db2,1
65,join,1
66,mysql,2
67,innodb,1
68,deadlock,1
69,opengl-es-2.0,1
70,opengl-es,1
71,css,3
72,html,3
73,playframework-2.0,1
74,scala,1
75,json,1
76,playframework,1
77,datagridview,1
78,sql-server,1
79,forge,1
80,php-7,1
81,laravel-5.2,1
82,range,1
83,python-3.x,2
84,bouncycastle,1
85,x509certificate,1
86,verisign,1
87,digital-certificate,1
88,jquery-mobile,1
89,winforms,1
90,pytz,1
91,raspberry-pi,1
92,xml,1
93,android-tablelayout,1
94,button,1
95,controls,1
96,vba,1
97,tags,1
98,journal,1
99,systemd,1
100,logging,1
101,c++,2
102,visual-studio,1
103,compiler-errors,1
104,visual-studio-2010,1
105,lnk2019,1
106,addthis,1
107,social-networking,1
108,jquery,1
109,3d,1
110,graphics,1
111,blender,1
112,seaborn,1
113,accelerometer,1
114,data-modeling,1
115,powerbi,1
116,arduino,1
117,integer,1
118,objective-c,1
119,performance,1
120,method-swizzling,1
121,clang,1
122,llvm,1
123,static,1
124,containers,1
125,dhcp,1
126,docker,1
127,linker,1
128,x86,1
129,assembly,1
